Company | Open | High | Low | Close | Volume
VILIN BIO MED LIMITED | 19.6 | 21.0 | 19.6 | 21.0 | 12000
SANOFI CONS HEALTHC IND L | 4551.7 | 4638.5 | 4551.7 | 4592.1 | 3691
SMVD POLY PACK LIMITED | 7.75 | 7.75 | 7.75 | 7.75 | 4040
GREAVES COTTON LTD. | 177.5 | 180.99 | 177.02 | 180.34 | 550133
SINTERCOM INDIA LIMITED | 106.01 | 110.0 | 103.02 | 103.62 | 8529
VISHWARAJ SUGAR IND LTD | 6.81 | 6.99 | 6.71 | 6.88 | 163390
KAYA LIMITED | 330.8 | 359.8 | 330.45 | 359.8 | 9240
KAYNES TECHNOLOGY IND LTD | 4080.0 | 4200.0 | 4012.0 | 4185.0 | 2425907
BIOCON LIMITED. | 394.9 | 401.45 | 393.4 | 398.55 | 4142159
MISHRA DHATU NIGAM LTD | 297.5 | 302.0 | 291.75 | 297.25 | 751427
DEV ACCELERATOR LIMITED | 42.1 | 42.33 | 41.4 | 41.71 | 113795
SHREE RAMA NEWSPRINT LTD | 31.06 | 31.06 | 30.5 | 30.6 | 15166
MAGELLANIC CLOUD LIMITED | 26.06 | 26.69 | 25.85 | 26.5 | 2838421
GTL LTD | 8.05 | 8.18 | 7.71 | 7.99 | 173595
JAINIK POWER CABLES LTD | 132.8 | 132.8 | 132.8 | 132.8 | 7200
DIVINE POWER ENERGY LTD | 263.0 | 274.8 | 263.0 | 264.15 | 13500
M P TODAY MEDIA LIMITED | 47.55 | 47.55 | 47.55 | 47.55 | 2000
GREENLEAF ENVIROTECH LTD | 164.0 | 164.0 | 152.05 | 155.85 | 20000
STRLNG & WIL REN ENE LTD | 211.4 | 215.47 | 208.1 | 213.82 | 1181549
PATANJALI FOODS LIMITED | 554.45 | 566.65 | 547.75 | 559.4 | 1887014
BLACK BOX LIMITED | 515.0 | 524.9 | 512.1 | 515.85 | 307725
BHARAT FORGE LTD | 1401.4 | 1442.7 | 1400.5 | 1439.9 | 503965
IND TERRAIN FASHIONS LTD | 35.01 | 35.2 | 34.65 | 34.94 | 11852
ALLIED DIGITAL SERV. LTD | 152.1 | 154.76 | 151.51 | 153.76 | 98854
SURYALAKSHMI COT MIL LTD | 56.78 | 57.8 | 56.32 | 57.39 | 354
GTL INFRA.LTD | 1.21 | 1.22 | 1.19 | 1.19 | 51802504
NLC INDIA LIMITED | 239.57 | 239.76 | 235.81 | 239.01 | 543079
EPACK PREFAB TECHN LTD | 290.5 | 292.0 | 283.0 | 289.5 | 710678
BERGER PAINTS (I) LTD | 534.6 | 539.55 | 533.0 | 538.0 | 268604
EPACK DURABLE LIMITED | 301.0 | 302.75 | 282.6 | 288.0 | 3321663
GENUS POWER INFRASTRU LTD | 295.4 | 303.6 | 294.8 | 302.15 | 216906
DECCAN CEMENTS LIMITED | 761.8 | 782.0 | 750.6 | 766.9 | 18179
ASTRON PAPER BORD MIL LTD | 6.2 | 6.2 | 5.88 | 6.15 | 24763
QUESS CORP LIMITED | 205.0 | 211.2 | 204.54 | 209.01 | 462782
ASAHI SONGWON COLOR LTD | 278.2 | 293.2 | 274.7 | 284.15 | 28620
